iter	Passed	Remaining
0	1	122
1	2	121
2	3	124
3	5	122
4	6	125
5	7	124
6	9	125
7	10	124
8	12	122
9	13	122
10	15	121
11	16	120
12	17	118
13	19	117
14	20	116
15	21	115
16	23	114
17	24	112
18	26	111
19	27	109
20	28	108
21	30	106
22	31	105
23	33	104
24	34	103
25	35	102
26	37	100
27	38	99
28	40	98
29	41	97
30	42	95
31	44	94
32	45	92
33	47	91
34	48	90
35	50	89
36	51	88
37	53	87
38	54	85
39	56	84
40	57	83
41	58	80
42	59	79
43	61	77
44	62	76
45	63	75
46	65	73
47	66	72
48	68	70
49	69	69
50	70	67
51	71	66
52	73	64
53	74	63
54	75	61
55	76	60
56	78	58
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	50
63	87	49
64	89	47
65	90	46
66	91	45
67	93	43
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	100	35
74	102	34
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	109	25
81	110	24
82	112	22
83	113	21
84	114	20
85	116	18
86	117	17
87	118	16
88	119	14
89	121	13
90	122	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
